j,nj
534,2.47E-01
535,1.88E-01
536,1.88E-01
537,1.82E-01
538,1.19E-01
539,8.41E-02
540,8.06E-02
541,8.04E-02
542,8.02E-02
543,7.92E-02
544,7.68E-02
545,7.64E-02
546,7.64E-02
547,7.61E-02
548,7.60E-02
549,7.54E-02
550,7.53E-02
551,7.52E-02
552,7.52E-02
553,7.50E-02
554,7.43E-02
555,7.42E-02
556,7.35E-02
557,7.35E-02
558,7.33E-02
559,7.32E-02
560,7.27E-02
561,7.26E-02
562,7.25E-02
563,7.24E-02
564,7.23E-02
565,7.22E-02
566,7.21E-02
567,7.19E-02
568,7.14E-02
569,7.13E-02
570,7.13E-02
571,7.10E-02
572,7.09E-02
573,7.09E-02
574,7.08E-02
575,7.06E-02
576,7.05E-02
577,7.05E-02
578,7.04E-02
579,7.04E-02
580,7.04E-02
581,7.04E-02
582,7.02E-02
583,7.01E-02
584,6.99E-02
585,6.99E-02
586,6.97E-02
587,6.97E-02
588,6.97E-02
589,6.96E-02
590,6.96E-02
591,6.94E-02
592,6.94E-02
593,6.93E-02
594,6.92E-02
595,6.91E-02
596,6.90E-02
597,6.90E-02
598,6.89E-02
599,6.88E-02
600,6.86E-02
601,6.86E-02
602,6.86E-02
603,6.86E-02
604,6.85E-02
605,6.84E-02
606,6.84E-02
607,6.84E-02
608,6.83E-02
609,6.82E-02
610,6.82E-02
611,6.82E-02
612,6.82E-02
613,6.81E-02
614,6.80E-02
615,6.80E-02
616,6.80E-02
617,6.79E-02
618,6.77E-02
619,6.77E-02
620,6.76E-02
621,6.76E-02
622,6.76E-02
623,6.75E-02
624,6.75E-02
625,6.74E-02
626,6.74E-02
627,6.73E-02
628,6.72E-02
629,6.71E-02
630,6.71E-02
631,6.71E-02
632,6.71E-02
633,6.71E-02
634,6.70E-02
635,6.69E-02
636,6.69E-02
637,6.69E-02
638,6.69E-02
639,6.69E-02
640,6.68E-02
641,6.68E-02
642,6.68E-02
643,6.67E-02
644,6.67E-02
645,6.67E-02
646,6.67E-02
647,6.66E-02
648,6.66E-02
649,6.66E-02
650,6.65E-02
651,6.65E-02
652,6.63E-02
653,6.63E-02
654,6.62E-02
655,6.61E-02
656,6.61E-02
657,6.60E-02
658,6.60E-02
659,6.59E-02
660,6.58E-02
661,6.58E-02
662,6.57E-02
663,6.55E-02
664,6.54E-02
665,6.54E-02
666,6.52E-02
667,6.50E-02
668,6.50E-02
669,6.49E-02
670,6.48E-02
671,6.46E-02
672,6.46E-02
673,6.45E-02
674,6.44E-02
675,6.44E-02
676,6.42E-02
677,6.40E-02
678,6.38E-02
679,6.36E-02
680,6.35E-02
681,6.35E-02
682,6.33E-02
683,6.33E-02
684,6.33E-02
685,6.33E-02
686,6.33E-02
687,6.32E-02
688,6.32E-02
689,6.31E-02
690,6.30E-02
691,6.30E-02
692,6.30E-02
693,6.29E-02
694,6.29E-02
695,6.29E-02
696,6.28E-02
697,6.28E-02
698,6.27E-02
699,6.27E-02
700,6.26E-02
701,6.25E-02
702,6.25E-02
703,6.24E-02
704,6.23E-02
705,6.21E-02
706,6.20E-02
707,6.19E-02
708,6.18E-02
709,6.18E-02
710,6.18E-02
711,6.17E-02
712,6.15E-02
713,6.15E-02
714,6.15E-02
715,6.14E-02
716,6.14E-02
717,6.13E-02
718,6.12E-02
719,6.12E-02
720,6.10E-02
721,6.10E-02
722,6.10E-02
723,6.09E-02
